	RS34.D0	RS34.D2	RS37.D5	RS35.D0	RS35.D2	RS38.D5	RS36.D0	RS36.D2	RS54.D5	RS38.D0	RS38.D2	RS35.D5	RS39.D0	RS39.D2	RS34.D5	RS45.D0	RS45.D2	RS45.D5.C	RS49.D0	RS49.D2	RS49.D5	RS51.D0	RS51.D2	RS51.D5	RS55.D0	RS55.D2	RS55.D5	RS31.D0	RS31.D2	RS31.D5	RS32.D0	RS32.D2	RS32.D5	RS33.D0	RS33.D2	RS33.D5	RS54.D0	RS54.D2	RS36.D5	RS40.D0	RS40.D2	RS40.D5	RS48.D0	RS48.D2	RS48.D5	RS50.D0	RS50.D2	RS50.D5
RS51.D5	0.569455037703	0.570463345992	0.571510631872	0.578512858125	0.567816321424	0.563896994588	0.578402736138	0.561057435674	0.569559360739	0.576099253155	0.599683492045	0.577694175404	0.743184891115	0.568774988429	0.605602064327	0.56906729802	0.563839196573	0.580080232895	0.562026560989	0.566965661246	0.570027777871	0.564495365273	0.545178438711	0.0	0.558756358153	0.567825021284	0.555281518836	0.586069053083	0.56360896962	0.567773644082	0.588189980273	0.575304646487	0.583051463998	0.569886004136	0.57035091103	0.57701711569	0.581606910364	0.569801796109	0.572096802368	0.568386397944	0.559613945118	0.578453778303	0.579197430748	0.583029103499	0.558852649722	0.580501070211	0.616058529879	0.587389723383
RS55.D0	0.579528183783	0.56326561231	0.564567632509	0.567356417444	0.553377364719	0.555135361843	0.571149781569	0.548529675632	0.570992074697	0.570533909449	0.591292037441	0.583946825516	0.723948509843	0.550947084367	0.600113568815	0.555488845657	0.564554323923	0.56728379483	0.574783658992	0.576955147472	0.564982316991	0.567558392497	0.55847157573	0.558756358153	0.0	0.547321434714	0.536430540784	0.569225943446	0.568464802778	0.559416287814	0.578012892458	0.546405335389	0.565655540464	0.553076370286	0.569006010959	0.571654146141	0.558199527232	0.548530834007	0.56277987204	0.551865388372	0.541234412261	0.567188636329	0.558076017576	0.569052009018	0.574647154137	0.559822551767	0.579587727509	0.578832457263
RS55.D2	0.574778299754	0.584456494898	0.569705947169	0.559487929447	0.579180406528	0.562144272037	0.570898759479	0.560397860299	0.572519384753	0.574661195292	0.598495045163	0.586338989992	0.738533685658	0.572765264409	0.623817806215	0.569983229651	0.571386610303	0.57049509368	0.574551015809	0.578591714123	0.564152135674	0.57116241619	0.573616170203	0.567825021284	0.547321434714	0.0	0.537105457726	0.578535462123	0.57477118933	0.559832890648	0.582991143751	0.572312457983	0.574662845053	0.573668398786	0.591650210522	0.562750452204	0.568902552269	0.5752284747	0.571667933477	0.565779232305	0.55809567794	0.570345855426	0.572016732002	0.585592263987	0.576419969229	0.577030023762	0.616711250943	0.594734419941
RS55.D5	0.563086117617	0.571756813056	0.565156752788	0.562141146747	0.56456443295	0.5544773963	0.55855111	0.553684811718	0.554648126361	0.558967411077	0.580325040229	0.575744039747	0.721463062119	0.557216284898	0.588303186407	0.556611734559	0.563224034085	0.547204843611	0.550483435229	0.569017933609	0.557333675593	0.574822437264	0.555433162397	0.555281518836	0.536430540784	0.537105457726	0.0	0.560940135777	0.565515427744	0.550986186394	0.574864894901	0.550368250607	0.568432901369	0.551170434059	0.572477266577	0.556878289615	0.564594046592	0.559392498245	0.560521690774	0.559616896348	0.543190058758	0.551087137413	0.558571209889	0.567496582575	0.56891471297	0.566344412533	0.591728413107	0.57981502909
RS31.D0	0.581988375243	0.599566773969	0.584607076002	0.568164185142	0.587166135715	0.583361937903	0.564663980502	0.562195357589	0.577309525118	0.561856844447	0.607301942106	0.602300753559	0.759685678041	0.577593341204	0.634040281451	0.565200888099	0.581298668294	0.574288476265	0.578313541111	0.594237271447	0.587169748187	0.59232768697	0.577398349094	0.586069053083	0.569225943446	0.578535462123	0.560940135777	0.0	0.563794855666	0.556684773887	0.563725866237	0.552530875852	0.563357271286	0.570591552482	0.591065578874	0.562799693721	0.563832632749	0.588245777994	0.587586884772	0.577438911614	0.571029934415	0.589179271184	0.58105489823	0.587363034189	0.586262085532	0.58672671908	0.638763725635	0.603192977506
RS31.D2	0.582595442122	0.583436714566	0.582050253511	0.57742061028	0.569409782628	0.570933616304	0.565372062881	0.55461944201	0.57919324838	0.574010410086	0.598136908201	0.586269581057	0.746050027847	0.576467250858	0.609599350107	0.574321435615	0.572578471284	0.570216201482	0.577221200865	0.576285025796	0.583564428595	0.564905701894	0.570159871147	0.56360896962	0.568464802778	0.57477118933	0.565515427744	0.563794855666	0.0	0.54988284191	0.580556611177	0.559932130887	0.567716420607	0.558655518165	0.56206027221	0.569783679486	0.573535192786	0.570811355114	0.580720142683	0.569457516961	0.558533099823	0.584175755847	0.583219183611	0.591799734742	0.559709635379	0.580756125733	0.606248575097	0.584813252782
RS31.D5	0.584749676481	0.576465767219	0.569807197176	0.562203664804	0.569046246635	0.564978049813	0.553220628087	0.556492103258	0.577618372706	0.559786284225	0.587686958502	0.593022202347	0.726917704723	0.58031356365	0.60360944246	0.555409172572	0.570793821304	0.553041562695	0.576350413866	0.576416879596	0.57774068722	0.563418411665	0.565948170891	0.567773644082	0.559416287814	0.559832890648	0.550986186394	0.556684773887	0.54988284191	0.0	0.571178196279	0.547385555032	0.551700506358	0.555878593576	0.558667795249	0.549114502795	0.553412472941	0.573184709626	0.570031452338	0.547687790468	0.556900554389	0.576826266599	0.552537401711	0.581833821266	0.563717753591	0.572590313994	0.598929405872	0.588961029287
RS32.D0	0.577248741039	0.598005609464	0.598133182146	0.575350772353	0.590572549866	0.591826365194	0.578449896528	0.572948285704	0.576415469227	0.572797762168	0.617435238937	0.594117205141	0.767772594127	0.58014462047	0.64306369314	0.576374565361	0.580083978837	0.594877504775	0.584153319486	0.609042396075	0.589140097634	0.60424784951	0.579625134656	0.588189980273	0.578012892458	0.582991143751	0.574864894901	0.563725866237	0.580556611177	0.571178196279	0.0	0.569101290513	0.570240178734	0.571171647207	0.594750487192	0.573907686667	0.567759368875	0.59905948539	0.577382674975	0.578506925507	0.575429700499	0.591117294097	0.608121000478	0.58431379013	0.598696158126	0.590277872173	0.633377206636	0.596165148503
RS32.D2	0.57585388597	0.569649003322	0.566637765875	0.558489677188	0.561003637993	0.563320737349	0.555399047654	0.551803159906	0.575698829422	0.565346194601	0.588704983076	0.580486773939	0.735572875605	0.575474389661	0.603530952407	0.560176990895	0.570480472775	0.555992290547	0.57364762198	0.587278966755	0.576574788082	0.572912180099	0.568556545843	0.575304646487	0.546405335389	0.572312457983	0.550368250607	0.552530875852	0.559932130887	0.547385555032	0.569101290513	0.0	0.538145040312	0.547810423663	0.567102490467	0.557340771615	0.547693006397	0.556977052137	0.561307960414	0.547042105307	0.54899106225	0.57079562136	0.562813462324	0.574866426666	0.569763660643	0.584765502551	0.605490052548	0.588866706502
RS32.D5	0.570047544224	0.578707467957	0.587682293038	0.570730564011	0.573319283947	0.580661316455	0.562029184971	0.559225365765	0.572046720197	0.569430703629	0.607628188649	0.59314918294	0.751404566984	0.580406078617	0.625244678025	0.571876305942	0.57611637459	0.564552046632	0.577818790033	0.585565942636	0.589610826586	0.588352251229	0.58386194713	0.583051463998	0.565655540464	0.574662845053	0.568432901369	0.563357271286	0.567716420607	0.551700506358	0.570240178734	0.538145040312	0.0	0.556489192617	0.570279869846	0.560925650557	0.561430176742	0.577806988263	0.558876502088	0.561381762845	0.561790627431	0.576300706499	0.574830888951	0.576724541416	0.58047962969	0.583844286248	0.612915345779	0.597461989302
